name,ingredients,diet,prep_time,cook_time,total_time,flavour,dish_type,state,region,health_score,health_status
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,70,sweet,dessert,west bengal,east,-8,Unhealthy
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,110,sweet,dessert,rajasthan,west,-4,Unhealthy
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,75,sweet,dessert,punjab,north,0,Balanced
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,45,sweet,dessert,rajasthan,west,2,Balanced
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,55,sweet,dessert,west bengal,east,-14,Unhealthy
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,60,sweet,dessert,west bengal,east,-5,Unhealthy
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,60,sweet,dessert,uttar pradesh,north,8,Healthy
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,30,sweet,dessert,maharashtra,west,-2,Balanced
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,50,sweet,dessert,west bengal,east,-3,Unhealthy
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,50,sweet,dessert,uttar pradesh,north,-3,Unhealthy
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,50,sweet,dessert,maharashtra,west,-4,Unhealthy
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,10,sweet,dessert,punjab,north,-1,Balanced
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,50,sweet,dessert,gujarat,west,-1,Balanced
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,40,sweet,dessert,uttar pradesh,north,-1,Balanced
Phirni,"Rice, sugar, nuts",vegetarian,30,20,50,sweet,dessert,odisha,east,-5,Unhealthy
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,55,sweet,dessert,uttar pradesh,north,-10,Unhealthy
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,35,sweet,dessert,maharashtra,west,-2,Balanced
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,30,sweet,dessert,uttarakhand,north,-2,Balanced
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,70,sweet,dessert,uttar pradesh,north,-2,Balanced
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,70,60,130,sweet,dessert,maharashtra,west,1,Balanced
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,60,sweet,dessert,odisha,east,-7,Unhealthy
Chhena kheeri,"Chhena, sugar, milk",vegetarian,27,60,87,sweet,dessert,odisha,east,-3,Unhealthy
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,55,sweet,dessert,odisha,east,-5,Unhealthy
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,100,sweet,dessert,west bengal,east,-9,Unhealthy
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,85,sweet,dessert,odisha,east,-5,Unhealthy
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,90,sweet,dessert,west bengal,east,-7,Unhealthy
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,50,sweet,dessert,assam,north east,-5,Unhealthy
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,130,sweet,dessert,bihar,north,0,Balanced
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,45,sweet,dessert,west bengal,east,-4,Unhealthy
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,90,sweet,dessert,west bengal,east,-7,Unhealthy
Pithe,"Rice flour, wheat flour",vegetarian,15,35,50,sweet,dessert,assam,north east,2,Balanced
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,45,sweet,dessert,odisha,east,-3,Unhealthy
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,100,sweet,dessert,west bengal,east,0,Balanced
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,50,sweet,dessert,west bengal,east,0,Balanced
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,60,sweet,dessert,west bengal,east,-8,Unhealthy
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,90,sweet,dessert,andhra pradesh,south,-5,Unhealthy
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,40,sweet,dessert,andhra pradesh,south,-9,Unhealthy
Chikki,"Peanuts, jaggery",vegetarian,10,20,30,sweet,dessert,maharashtra,west,1,Balanced
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,80,sweet,dessert,karnataka,south,-4,Unhealthy
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,50,sweet,dessert,telangana,south,1,Balanced
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,40,sweet,dessert,andhra pradesh,south,-8,Unhealthy
